"Scenario_Set","Scenario_Name","Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CFO_Skeleton","CFO_Model_File","CFO_Sigma2_Beta","CFO_Eta","CFO_PK_Method","CFO_N_MC_W","CFO_M_Use","CFO_Use_Monotone_Pair","CFO_N_Chains","CFO_N_Adapt","CFO_N_Burnin","CFO_N_Iter","CFO_Thin","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0,0,0.0714,28,2,1,1,1,0.07,0.07,0.0086,NA,NA,0,0.7235,4.2574,4.2574,0,29.9473,20.968,0.2067,343.5867,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0,0,0.0714,28,2,1,1,2,0.12,0.12,0.0311,NA,NA,0,4.9096,5.5426,5.5426,3.3928,29.9473,20.968,0.2067,343.5867,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0,0,0.0714,28,2,1,1,3,0.17,0.17,0.0747,NA,NA,0,15.7623,6.6171,6.6171,1.2212,29.9473,20.968,0.2067,343.5867,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0,0,0.0714,28,2,1,1,4,0.22,0.22,0.1521,NA,NA,0,29.7674,6.5659,6.5659,2.9209,29.9473,20.968,0.2067,343.5867,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0,0,0.0714,28,2,1,1,5,0.3,0.3,0.3,NA,NA,0,48.6305,6.9643,6.9643,1.4444,29.9473,20.968,0.2067,343.5867,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0,0,0.0714,28,2,1,1,1,0.07,0.07,0.0086,NA,NA,0,0.7235,4.2574,4.2574,0,29.9473,20.968,0.2067,343.5867,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0,0,0.0714,28,2,1,1,2,0.12,0.12,0.0311,NA,NA,0,4.9096,5.5426,5.5426,3.3928,29.9473,20.968,0.2067,343.5867,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0,0,0.0714,28,2,1,1,3,0.17,0.17,0.0747,NA,NA,0,15.7623,6.6171,6.6171,1.2212,29.9473,20.968,0.2067,343.5867,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0,0,0.0714,28,2,1,1,4,0.22,0.22,0.1521,NA,NA,0,29.7674,6.5659,6.5659,2.9209,29.9473,20.968,0.2067,343.5867,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0,0,0.0714,28,2,1,1,5,0.3,0.3,0.3,NA,NA,0,48.6305,6.9643,6.9643,1.4444,29.9473,20.968,0.2067,343.5867,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0,0,0.0714,28,3,1,1,1,0.07,0.07,0.0086,NA,NA,0,0.7235,4.2574,4.2574,0,29.9473,18.5824,0.2067,328.3855,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0,0,0.0714,28,3,1,1,2,0.12,0.12,0.0311,NA,NA,0,4.9096,5.5426,5.5426,3.3928,29.9473,18.5824,0.2067,328.3855,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0,0,0.0714,28,3,1,1,3,0.17,0.17,0.0747,NA,NA,0,15.7623,6.6171,6.6171,3.6444,29.9473,18.5824,0.2067,328.3855,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0,0,0.0714,28,3,1,1,4,0.22,0.22,0.1521,NA,NA,0,29.7674,6.5659,6.5659,1.6274,29.9473,18.5824,0.2067,328.3855,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0,0,0.0714,28,3,1,1,5,0.3,0.3,0.3,NA,NA,0,48.6305,6.9643,6.9643,2.7003,29.9473,18.5824,0.2067,328.3855,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0,0,0.0714,28,3,1,1,1,0.07,0.07,0.0086,NA,NA,0,0.7235,4.2574,4.2574,0,29.9473,18.5824,0.2067,328.3855,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0,0,0.0714,28,3,1,1,2,0.12,0.12,0.0311,NA,NA,0,4.9096,5.5426,5.5426,3.3928,29.9473,18.5824,0.2067,328.3855,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0,0,0.0714,28,3,1,1,3,0.17,0.17,0.0747,NA,NA,0,15.7623,6.6171,6.6171,3.6444,29.9473,18.5824,0.2067,328.3855,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0,0,0.0714,28,3,1,1,4,0.22,0.22,0.1521,NA,NA,0,29.7674,6.5659,6.5659,1.6274,29.9473,18.5824,0.2067,328.3855,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0,0,0.0714,28,3,1,1,5,0.3,0.3,0.3,NA,NA,0,48.6305,6.9643,6.9643,2.7003,29.9473,18.5824,0.2067,328.3855,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0.3,0,0.0714,28,1,1,1,1,0.07,0.07,0.0086,NA,NA,0,0.7235,4.2574,4.2574,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0.3,0,0.0714,28,1,1,1,2,0.12,0.141,0.0311,NA,NA,0,4.9096,5.5426,5.5426,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0.3,0,0.0714,28,1,1,1,3,0.17,0.206,0.0747,NA,NA,0,15.7623,6.6171,6.6171,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0.3,0,0.0714,28,1,1,1,4,0.22,0.271,0.1521,NA,NA,0,29.7674,6.5659,6.5659,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0.3,0,0.0714,28,1,1,1,5,0.3,0.366,0.3,NA,NA,0,48.6305,6.9643,6.9643,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0.3,0,0.0714,28,1,1,1,1,0.07,0.07,0.0086,NA,NA,0,0.7235,4.2574,4.2574,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0.3,0,0.0714,28,1,1,1,2,0.12,0.141,0.0311,NA,NA,0,4.9096,5.5426,5.5426,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0.3,0,0.0714,28,1,1,1,3,0.17,0.206,0.0747,NA,NA,0,15.7623,6.6171,6.6171,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0.3,0,0.0714,28,1,1,1,4,0.22,0.271,0.1521,NA,NA,0,29.7674,6.5659,6.5659,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0.3,0,0.0714,28,1,1,1,5,0.3,0.366,0.3,NA,NA,0,48.6305,6.9643,6.9643,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0.3,0,0.0714,28,2,1,1,1,0.07,0.07,0.0101,NA,NA,0,1.0853,4.4093,4.4093,0,29.9473,20.6749,0.2067,342.5222,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0.3,0,0.0714,28,2,1,1,2,0.12,0.141,0.0408,NA,NA,0,6.615,5.9938,5.9938,3.4656,29.9473,20.6749,0.2067,342.5222,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0.3,0,0.0714,28,2,1,1,3,0.17,0.206,0.0917,NA,NA,0,19.9483,7.0202,7.0202,1.4289,29.9473,20.6749,0.2067,342.5222,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0.3,0,0.0714,28,2,1,1,4,0.22,0.271,0.176,NA,NA,0,33.1783,6.738,6.738,2.9643,29.9473,20.6749,0.2067,342.5222,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0.3,0,0.0714,28,2,1,1,5,0.3,0.366,0.3123,NA,NA,0,38.9664,5.786,5.786,1.4134,29.9473,20.6749,0.2067,342.5222,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0.3,0,0.0714,28,2,1,1,1,0.07,0.07,0.0101,NA,NA,0,1.0853,4.4093,4.4093,0,29.9473,20.6749,0.2067,342.5222,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0.3,0,0.0714,28,2,1,1,2,0.12,0.141,0.0408,NA,NA,0,6.615,5.9938,5.9938,3.4656,29.9473,20.6749,0.2067,342.5222,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0.3,0,0.0714,28,2,1,1,3,0.17,0.206,0.0917,NA,NA,0,19.9483,7.0202,7.0202,1.4289,29.9473,20.6749,0.2067,342.5222,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0.3,0,0.0714,28,2,1,1,4,0.22,0.271,0.176,NA,NA,0,33.1783,6.738,6.738,2.9643,29.9473,20.6749,0.2067,342.5222,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
