"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","Stage2_Allocation","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Dose_Assignment","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Recycle_Toxicity_Rule","Recycle_Efficacy_Rule","Metric","D1","D2","D3","D4","D5","Total","Duration","n_valid","ntrial_from_files"
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"True DLT rate",0.3,0.35,0.4,0.45,0.5,NA,NA,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"True efficacy rate",0.05,0.06,0.07,0.08,0.09,NA,NA,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"Estimated CRM pj",0.3412,0.3949,0.4899,0.5334,0.615,NA,NA,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"Estimated efficacy",0.0834,0.2732,0.3708,0.4374,0.4827,NA,NA,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"Estimated utility",31.3542,40.5983,42.6481,44.9091,44.3588,NA,NA,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"r_hat",0.1374,0.1374,0.1374,0.1374,0.1374,NA,NA,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"r_cap",NA,NA,NA,NA,NA,NA,NA,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"r_use",NA,NA,NA,NA,NA,NA,NA,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"MTD Selection %",62.7,15.9,9.1,1.8,1,NA,NA,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"OBD Selection %",16.6,5.7,1.5,0.5,0.1,NA,NA,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"# Pts Treated",11.091,4.19,2.217,0.883,0.207,NA,NA,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"# Unique Pts by Dose",11.091,4.19,2.217,0.883,0.207,NA,NA,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"# IPDE Doses",0,0,0,0,0,NA,NA,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"# Total Administrations",NA,NA,NA,NA,NA,18.588,NA,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"# Total Unique Patients",NA,NA,NA,NA,NA,18.588,NA,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"% Early Stopping",NA,NA,NA,NA,NA,9.5,NA,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"% Design Early Stopping",NA,NA,NA,NA,NA,9.6,NA,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"% No OBD Selection",NA,NA,NA,NA,NA,75.6,NA,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"Duration",NA,NA,NA,NA,NA,NA,1023.871,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"True DLT rate",0.02,0.06,0.09,0.14,0.26,NA,NA,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"True efficacy rate",0.2,0.2,0.2,0.2,0.2,NA,NA,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"Estimated CRM pj",0.0427,0.0648,0.12,0.1531,0.2308,NA,NA,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"Estimated efficacy",0.2047,0.2045,0.2054,0.2219,0.2483,NA,NA,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"Estimated utility",50.576,49.6778,47.5254,47.19,45.6669,NA,NA,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"r_hat",0.1373,0.1373,0.1373,0.1373,0.1373,NA,NA,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"r_cap",NA,NA,NA,NA,NA,NA,NA,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"r_use",NA,NA,NA,NA,NA,NA,NA,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"MTD Selection %",0,0,0.8,7.1,92.1,NA,NA,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"OBD Selection %",31.5,22.3,17.1,16.1,13,NA,NA,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"# Pts Treated",6.616,6.257,5.714,6.064,5.349,NA,NA,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"# Unique Pts by Dose",6.616,6.257,5.714,6.064,5.349,NA,NA,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"# IPDE Doses",0,0,0,0,0,NA,NA,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"# Total Administrations",NA,NA,NA,NA,NA,30,NA,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"# Total Unique Patients",NA,NA,NA,NA,NA,30,NA,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"% Early Stopping",NA,NA,NA,NA,NA,0,NA,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"% Design Early Stopping",NA,NA,NA,NA,NA,0,NA,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"% No OBD Selection",NA,NA,NA,NA,NA,0,NA,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"Duration",NA,NA,NA,NA,NA,NA,1664.1426,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"True DLT rate",0.07,0.14,0.31,0.41,0.52,NA,NA,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"True efficacy rate",0.05,0.25,0.25,0.25,0.25,NA,NA,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"Estimated CRM pj",0.1439,0.1888,0.2804,0.3272,0.4229,NA,NA,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"Estimated efficacy",0.1213,0.2568,0.2582,0.325,0.4237,NA,NA,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"Estimated utility",41.5258,47.8541,44.2768,46.4147,48.5051,NA,NA,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"r_hat",0.1399,0.1399,0.1399,0.1399,0.1399,NA,NA,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"r_cap",NA,NA,NA,NA,NA,NA,NA,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"r_use",NA,NA,NA,NA,NA,NA,NA,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"MTD Selection %",3,8.2,41.8,34.2,12.7,NA,NA,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"OBD Selection %",9.2,50,25.3,9.8,2,NA,NA,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"# Pts Treated",5.745,9.777,8.026,4.433,1.473,NA,NA,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"# Unique Pts by Dose",5.745,9.777,8.026,4.433,1.473,NA,NA,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"# IPDE Doses",0,0,0,0,0,NA,NA,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"# Total Administrations",NA,NA,NA,NA,NA,29.454,NA,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"# Total Unique Patients",NA,NA,NA,NA,NA,29.454,NA,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"% Early Stopping",NA,NA,NA,NA,NA,0.1,NA,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"% Design Early Stopping",NA,NA,NA,NA,NA,0.1,NA,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"% No OBD Selection",NA,NA,NA,NA,NA,3.7,NA,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"Duration",NA,NA,NA,NA,NA,NA,1632.7424,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"True DLT rate",0.01,0.02,0.05,0.1,0.25,NA,NA,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"True efficacy rate",0.05,0.08,0.2,0.5,0.5,NA,NA,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"Estimated CRM pj",0.0296,0.047,0.093,0.122,0.1928,NA,NA,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"Estimated efficacy",0.1442,0.1541,0.2145,0.4747,0.4697,NA,NA,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"Estimated utility",47.4673,47.3651,49.1505,63.603,60.4683,NA,NA,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"r_hat",0.1394,0.1394,0.1394,0.1394,0.1394,NA,NA,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"r_cap",NA,NA,NA,NA,NA,NA,NA,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"r_use",NA,NA,NA,NA,NA,NA,NA,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"MTD Selection %",0,0,0,1.6,98.4,NA,NA,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"OBD Selection %",0.3,0.3,2.9,56.3,40.2,NA,NA,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,"# Pts Treated",3.556,3.756,4.882,9.453,8.353,NA,NA,1000,1000
