Scenario,Version,Design,Design_Key,Method,Available,Availability_Note,Source,Trials,True_MTD,True_OBD,No_OBD_Selection_pct,Mean_Total_Administrations,Mean_Total_Unique_Patients,Mean_Duration_days,True_DLT_Dose_1,True_Efficacy_Dose_1,OBD_Selection_Dose_1_pct,Mean_Administrations_Dose_1,True_DLT_Dose_2,True_Efficacy_Dose_2,OBD_Selection_Dose_2_pct,Mean_Administrations_Dose_2,True_DLT_Dose_3,True_Efficacy_Dose_3,OBD_Selection_Dose_3_pct,Mean_Administrations_Dose_3,True_DLT_Dose_4,True_Efficacy_Dose_4,OBD_Selection_Dose_4_pct,Mean_Administrations_Dose_4,True_DLT_Dose_5,True_Efficacy_Dose_5,OBD_Selection_Dose_5_pct,Mean_Administrations_Dose_5
27,TITE,Two-stage (highest utility),two_stage_highest_utility,TITE | 2-stage highest utility,True,,TITE_AIDE_phase_I_II_IDX_1001_to_2000_dose_summary.csv,1000,3,3,6.1000000000000085,29.157,19.149,1115.47639196044,0.11,0.1,16.4,7.704,0.17,0.2,27.8,8.235,0.3,0.4,42.4,9.018,0.5,0.42,6.8,3.324,0.62,0.45,0.5,0.876
27,New non-TITE,Two-stage (highest utility),two_stage_highest_utility,New non-TITE | 2-stage highest utility,True,,AIDE_phase_I_II_modelsadditive_newdesign_shared_N30_ncycle2_rp0p15x0p85_rate56d_ep0p5x0p5_cp0p15x0p85_eth0p2_fut0p85_ap0p15x0p85_IDX_0001_to_1000_dose_summary.csv,1000,3,3,6.5,29.151,19.365,1065.1846,0.11,0.1,16.3,7.695,0.17,0.2,23.9,7.926,0.3,0.4,44.0,9.432,0.5,0.42,8.4,3.174,0.62,0.45,0.9,0.924
38,TITE,Two-stage (highest utility),two_stage_highest_utility,TITE | 2-stage highest utility,True,,TITE_AIDE_phase_I_II_IDX_1001_to_2000_dose_summary.csv,1000,5,5,1.5,29.832,18.467,1123.73493583718,0.05,0.05,17.2,4.923,0.1,0.08,10.0,5.034,0.12,0.12,8.9,5.526,0.15,0.15,8.9,5.358,0.3,0.5,53.5,8.991
38,New non-TITE,Two-stage (highest utility),two_stage_highest_utility,New non-TITE | 2-stage highest utility,True,,AIDE_phase_I_II_modelsadditive_newdesign_shared_N30_ncycle2_rp0p15x0p85_rate56d_ep0p5x0p5_cp0p15x0p85_eth0p2_fut0p85_ap0p15x0p85_IDX_0001_to_1000_dose_summary.csv,1000,5,5,1.3,29.844,18.779,1034.0562,0.05,0.05,17.9,4.839,0.1,0.08,10.0,4.668,0.12,0.12,7.3,5.325,0.15,0.15,7.5,5.415,0.3,0.5,56.0,9.597
1,TITE,Two-stage (top-2 randomized),two_stage_top2_randomized,TITE | 2-stage top-2 randomized,True,,TITE_AIDE_phase_I_II_IDX_1001_to_2000_dose_summary.csv,1000,1,1,71.6,19.482,12.359,710.610670238794,0.3,0.05,18.6,11.532,0.35,0.06,8.8,4.584,0.4,0.07,0.9,2.172,0.45,0.08,0.1,0.915,0.5,0.09,0.0,0.279
1,New non-TITE,Two-stage (top-2 randomized),two_stage_top2_randomized,New non-TITE | 2-stage top-2 randomized,True,,AIDE_phase_I_II_modelsadditive_newdesign_shared_N30_ncycle2_rp0p15x0p85_rate56d_ep0p5x0p5_cp0p15x0p85_eth0p2_fut0p85_ap0p15x0p85_IDX_0001_to_1000_dose_summary.csv,1000,1,1,72.5,18.975,12.358,677.7874,0.3,0.05,17.4,11.014,0.35,0.06,7.2,4.351,0.4,0.07,2.0,2.338,0.45,0.08,0.8,0.998,0.5,0.09,0.1,0.274
16,TITE,Two-stage (top-2 randomized),two_stage_top2_randomized,TITE | 2-stage top-2 randomized,True,,TITE_AIDE_phase_I_II_IDX_1001_to_2000_dose_summary.csv,1000,5,1,0.10000000000000853,29.997,17.912,1080.03414757293,0.02,0.2,31.4,7.347,0.06,0.2,24.3,6.957,0.09,0.2,19.3,5.859,0.14,0.2,15.1,5.514,0.26,0.2,9.8,4.32
16,New non-TITE,Two-stage (top-2 randomized),two_stage_top2_randomized,New non-TITE | 2-stage top-2 randomized,True,,AIDE_phase_I_II_modelsadditive_newdesign_shared_N30_ncycle2_rp0p15x0p85_rate56d_ep0p5x0p5_cp0p15x0p85_eth0p2_fut0p85_ap0p15x0p85_IDX_0001_to_1000_dose_summary.csv,1000,5,1,0.0,30.0,18.298,1005.8567,0.02,0.2,33.9,6.607,0.06,0.2,22.2,6.091,0.09,0.2,16.5,5.6,0.14,0.2,15.4,6.108,0.26,0.2,12.0,5.594
20,TITE,Two-stage (top-2 randomized),two_stage_top2_randomized,TITE | 2-stage top-2 randomized,True,,TITE_AIDE_phase_I_II_IDX_1001_to_2000_dose_summary.csv,1000,3,2,2.9000000000000057,29.562,18.768,1102.63965162177,0.07,0.05,11.0,5.37,0.14,0.25,50.2,11.082,0.31,0.25,25.9,7.986,0.41,0.25,8.8,3.753,0.52,0.25,1.2,1.371
20,New non-TITE,Two-stage (top-2 randomized),two_stage_top2_randomized,New non-TITE | 2-stage top-2 randomized,True,,AIDE_phase_I_II_modelsadditive_newdesign_shared_N30_ncycle2_rp0p15x0p85_rate56d_ep0p5x0p5_cp0p15x0p85_eth0p2_fut0p85_ap0p15x0p85_IDX_0001_to_1000_dose_summary.csv,1000,3,2,3.0,29.529,19.018,1043.832,0.07,0.05,10.4,5.682,0.14,0.25,47.7,9.475,0.31,0.25,25.6,7.978,0.41,0.25,10.6,4.624,0.52,0.25,2.7,1.77
24,TITE,Two-stage (top-2 randomized),two_stage_top2_randomized,TITE | 2-stage top-2 randomized,True,,TITE_AIDE_phase_I_II_IDX_1001_to_2000_dose_summary.csv,1000,5,4,0.0,30.0,19.527,1201.29316809362,0.01,0.05,1.3,3.426,0.02,0.08,1.8,3.48,0.05,0.2,4.8,4.479,0.1,0.5,56.0,10.644,0.25,0.5,36.1,7.971
24,New non-TITE,Two-stage (top-2 randomized),two_stage_top2_randomized,New non-TITE | 2-stage top-2 randomized,True,,AIDE_phase_I_II_modelsadditive_newdesign_shared_N30_ncycle2_rp0p15x0p85_rate56d_ep0p5x0p5_cp0p15x0p85_eth0p2_fut0p85_ap0p15x0p85_IDX_0001_to_1000_dose_summary.csv,1000,5,4,0.0,30.0,19.545,1076.6065,0.01,0.05,0.4,3.578,0.02,0.08,0.8,3.675,0.05,0.2,3.6,4.893,0.1,0.5,56.6,9.434,0.25,0.5,38.6,8.42
27,TITE,Two-stage (top-2 randomized),two_stage_top2_randomized,TITE | 2-stage top-2 randomized,True,,TITE_AIDE_phase_I_II_IDX_1001_to_2000_dose_summary.csv,1000,3,3,6.1000000000000085,29.157,19.149,1115.47639196044,0.11,0.1,16.4,7.704,0.17,0.2,27.8,8.235,0.3,0.4,42.4,9.018,0.5,0.42,6.8,3.324,0.62,0.45,0.5,0.876
27,New non-TITE,Two-stage (top-2 randomized),two_stage_top2_randomized,New non-TITE | 2-stage top-2 randomized,True,,AIDE_phase_I_II_modelsadditive_newdesign_shared_N30_ncycle2_rp0p15x0p85_rate56d_ep0p5x0p5_cp0p15x0p85_eth0p2_fut0p85_ap0p15x0p85_IDX_0001_to_1000_dose_summary.csv,1000,3,3,5.7,29.184,19.451,1070.9197,0.11,0.1,10.5,7.443,0.17,0.2,23.6,8.201,0.3,0.4,46.6,8.446,0.5,0.42,12.5,4.016,0.62,0.45,1.1,1.078
38,TITE,Two-stage (top-2 randomized),two_stage_top2_randomized,TITE | 2-stage top-2 randomized,True,,TITE_AIDE_phase_I_II_IDX_1001_to_2000_dose_summary.csv,1000,5,5,1.5,29.832,18.467,1123.73493583718,0.05,0.05,17.2,4.923,0.1,0.08,10.0,5.034,0.12,0.12,8.9,5.526,0.15,0.15,8.9,5.358,0.3,0.5,53.5,8.991
38,New non-TITE,Two-stage (top-2 randomized),two_stage_top2_randomized,New non-TITE | 2-stage top-2 randomized,True,,AIDE_phase_I_II_modelsadditive_newdesign_shared_N30_ncycle2_rp0p15x0p85_rate56d_ep0p5x0p5_cp0p15x0p85_eth0p2_fut0p85_ap0p15x0p85_IDX_0001_to_1000_dose_summary.csv,1000,5,5,1.0,29.844,18.53,1021.7263,0.05,0.05,11.7,4.711,0.1,0.08,6.0,4.795,0.12,0.12,5.5,5.288,0.15,0.15,8.5,6.886,0.3,0.5,67.3,8.164
