"Figure","Alpha","Gap","Method","Metric","Value","Scenarios found","Derived oracle quantity"
"All methods and random priors","0.9","0.10","Cumulative CRM","Average trial duration","177.08391428571426","10000","false"
"All methods and random priors","0.9","0.10","Cumulative CRM","Absolute MTD-selection change vs oracle","3.5578","10000","false"
"All methods and random priors","0.9","0.15","Cumulative CRM","MTD selection","63.0909","10000","false"
"All methods and random priors","0.9","0.15","Cumulative CRM","MTD allocation","45.33666666666667","10000","false"
"All methods and random priors","0.9","0.15","Cumulative CRM","Overdose selection","20.2774","10000","false"
"All methods and random priors","0.9","0.15","Cumulative CRM","Overdose allocation","23.160666666666664","10000","false"
"All methods and random priors","0.9","0.15","Cumulative CRM","Average sample size","22.7996","10000","false"
"All methods and random priors","0.9","0.15","Cumulative CRM","Average trial duration","178.76995714285712","10000","false"
"All methods and random priors","0.9","0.15","Cumulative CRM","Absolute MTD-selection change vs oracle","5.9598","10000","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.15, 0.85)","MTD selection","32.7425","9911","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.15, 0.85)","MTD allocation","27.683333333333334","9911","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.15, 0.85)","Overdose selection","14.8038","9911","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.15, 0.85)","Overdose allocation","14.769666666666668","9911","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.15, 0.85)","Average sample size","21.7779","9911","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.15, 0.85)","Average trial duration","170.57525714285717","9911","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.15, 0.85)","Absolute MTD-selection change vs oracle","8.5165","9911","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.15, 0.85)","MTD selection","49.5618","9942","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.15, 0.85)","MTD allocation","37.772999999999996","9942","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.15, 0.85)","Overdose selection","15.2691","9942","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.15, 0.85)","Overdose allocation","17.110666666666667","9942","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.15, 0.85)","Average sample size","21.8103","9942","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.15, 0.85)","Average trial duration","170.84287142857144","9942","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.15, 0.85)","Absolute MTD-selection change vs oracle","0.7531","9942","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.15, 0.85)","MTD selection","58.878","9952","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.15, 0.85)","MTD allocation","43.802","9952","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.15, 0.85)","Overdose selection","14.9227","9952","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.15, 0.85)","Overdose allocation","18.646333333333335","9952","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.15, 0.85)","Average sample size","22.0082","9952","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.15, 0.85)","Average trial duration","172.4393","9952","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.15, 0.85)","Absolute MTD-selection change vs oracle","5.7408","9952","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.3, 0.7)","MTD selection","33.8928","9890","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.3, 0.7)","MTD allocation","27.936666666666667","9890","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.3, 0.7)","Overdose selection","23.9485","9890","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.3, 0.7)","Overdose allocation","21.15","9890","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.3, 0.7)","Average sample size","21.7763","9890","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.3, 0.7)","Average trial duration","170.5940857142857","9890","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","4.1437","9890","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.3, 0.7)","MTD selection","49.4651","9931","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.3, 0.7)","MTD allocation","36.84799999999999","9931","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.3, 0.7)","Overdose selection","22.5417","9931","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.3, 0.7)","Overdose allocation","23.028666666666666","9931","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.3, 0.7)","Average sample size","21.9458","9931","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.3, 0.7)","Average trial duration","171.93414285714286","9931","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","0.8546","9931","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.3, 0.7)","MTD selection","57.9582","9936","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.3, 0.7)","MTD allocation","42.041333333333334","9936","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.3, 0.7)","Overdose selection","20.1308","9936","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.3, 0.7)","Overdose allocation","23.535666666666664","9936","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.3, 0.7)","Average sample size","22.1349","9936","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.3, 0.7)","Average trial duration","173.46802857142856","9936","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","4.3536","9936","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.5, 0.5)","MTD selection","34.1691","9890","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.5, 0.5)","MTD allocation","27.899666666666665","9890","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.5, 0.5)","Overdose selection","27.091","9890","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.5, 0.5)","Overdose allocation","23.158333333333335","9890","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.5, 0.5)","Average sample size","21.7239","9890","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.5, 0.5)","Average trial duration","170.179","9890","false"
"All methods and random priors","0.9","0.05","Discount CRM (0.5, 0.5)","Absolute MTD-selection change vs oracle","4.1564","9890","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.5, 0.5)","MTD selection","49.4033","9931","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.5, 0.5)","MTD allocation","36.43633333333333","9931","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.5, 0.5)","Overdose selection","25.1095","9931","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.5, 0.5)","Overdose allocation","24.991333333333333","9931","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.5, 0.5)","Average sample size","21.9453","9931","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.5, 0.5)","Average trial duration","171.93335714285715","9931","false"
"All methods and random priors","0.9","0.10","Discount CRM (0.5, 0.5)","Absolute MTD-selection change vs oracle","0.9164","9931","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.5, 0.5)","MTD selection","57.6877","9936","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.5, 0.5)","MTD allocation","41.36833333333334","9936","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.5, 0.5)","Overdose selection","22.0706","9936","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.5, 0.5)","Overdose allocation","25.281","9936","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.5, 0.5)","Average sample size","22.1449","9936","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.5, 0.5)","Average trial duration","173.55234285714286","9936","false"
"All methods and random priors","0.9","0.15","Discount CRM (0.5, 0.5)","Absolute MTD-selection change vs oracle","4.3888","9936","false"
"All methods and random priors","0.9","0.05","Discount CRM (1, 1)","MTD selection","34.674","9890","false"
"All methods and random priors","0.9","0.05","Discount CRM (1, 1)","MTD allocation","28.079666666666665","9890","false"
"All methods and random priors","0.9","0.05","Discount CRM (1, 1)","Overdose selection","28.964","9890","false"
"All methods and random priors","0.9","0.05","Discount CRM (1, 1)","Overdose allocation","24.24366666666667","9890","false"
"All methods and random priors","0.9","0.05","Discount CRM (1, 1)","Average sample size","21.7502","9890","false"
"All methods and random priors","0.9","0.05","Discount CRM (1, 1)","Average trial duration","170.38742857142856","9890","false"
"All methods and random priors","0.9","0.05","Discount CRM (1, 1)","Absolute MTD-selection change vs oracle","4.7696","9890","false"
"All methods and random priors","0.9","0.10","Discount CRM (1, 1)","MTD selection","49.5353","9931","false"
"All methods and random priors","0.9","0.10","Discount CRM (1, 1)","MTD allocation","36.332","9931","false"
"All methods and random priors","0.9","0.10","Discount CRM (1, 1)","Overdose selection","26.9119","9931","false"
"All methods and random priors","0.9","0.10","Discount CRM (1, 1)","Overdose allocation","26.183333333333334","9931","false"
"All methods and random priors","0.9","0.10","Discount CRM (1, 1)","Average sample size","22.0015","9931","false"
"All methods and random priors","0.9","0.10","Discount CRM (1, 1)","Average trial duration","172.38224285714287","9931","false"
"All methods and random priors","0.9","0.10","Discount CRM (1, 1)","Absolute MTD-selection change vs oracle","0.7844","9931","false"
"All methods and random priors","0.9","0.15","Discount CRM (1, 1)","MTD selection","57.4817","9936","false"
"All methods and random priors","0.9","0.15","Discount CRM (1, 1)","MTD allocation","41.02033333333334","9936","false"
"All methods and random priors","0.9","0.15","Discount CRM (1, 1)","Overdose selection","23.4892","9936","false"
"All methods and random priors","0.9","0.15","Discount CRM (1, 1)","Overdose allocation","26.350666666666665","9936","false"
"All methods and random priors","0.9","0.15","Discount CRM (1, 1)","Average sample size","22.2018","9936","false"
"All methods and random priors","0.9","0.15","Discount CRM (1, 1)","Average trial duration","174.01042857142858","9936","false"
"All methods and random priors","0.9","0.15","Discount CRM (1, 1)","Absolute MTD-selection change vs oracle","4.5908","9936","false"
"All methods and random priors","0.9","0.05","Oracle: r-fixed, alpha = 0","MTD selection","34.5165","10000","false"
"All methods and random priors","0.9","0.05","Oracle: r-fixed, alpha = 0","MTD allocation","28.066","10000","false"
"All methods and random priors","0.9","0.05","Oracle: r-fixed, alpha = 0","Overdose selection","25.2711","10000","false"
"All methods and random priors","0.9","0.05","Oracle: r-fixed, alpha = 0","Overdose allocation","20.298000000000002","10000","false"
"All methods and random priors","0.9","0.05","Oracle: r-fixed, alpha = 0","Average sample size","28.8972","10000","true"
"All methods and random priors","0.9","0.05","Oracle: r-fixed, alpha = 0","Average trial duration","231.1776","10000","true"
"All methods and random priors","0.9","0.05","Oracle: r-fixed, alpha = 0","Absolute MTD-selection change vs oracle","0","10000","false"
"All methods and random priors","0.9","0.10","Oracle: r-fixed, alpha = 0","MTD selection","50.3186","10000","false"
"All methods and random priors","0.9","0.10","Oracle: r-fixed, alpha = 0","MTD allocation","37.193333333333335","10000","false"
"All methods and random priors","0.9","0.10","Oracle: r-fixed, alpha = 0","Overdose selection","23.8285","10000","false"
"All methods and random priors","0.9","0.10","Oracle: r-fixed, alpha = 0","Overdose allocation","21.752666666666666","10000","false"
"All methods and random priors","0.9","0.10","Oracle: r-fixed, alpha = 0","Average sample size","29.178099999999997","10000","true"
"All methods and random priors","0.9","0.10","Oracle: r-fixed, alpha = 0","Average trial duration","233.42479999999998","10000","true"
"All methods and random priors","0.9","0.10","Oracle: r-fixed, alpha = 0","Absolute MTD-selection change vs oracle","0","10000","false"
"All methods and random priors","0.9","0.15","Oracle: r-fixed, alpha = 0","MTD selection","59.4115","10000","false"
"All methods and random priors","0.9","0.15","Oracle: r-fixed, alpha = 0","MTD allocation","42.927","10000","false"
"All methods and random priors","0.9","0.15","Oracle: r-fixed, alpha = 0","Overdose selection","20.7302","10000","false"
"All methods and random priors","0.9","0.15","Oracle: r-fixed, alpha = 0","Overdose allocation","21.921666666666667","10000","false"
"All methods and random priors","0.9","0.15","Oracle: r-fixed, alpha = 0","Average sample size","29.2446","10000","true"
"All methods and random priors","0.9","0.15","Oracle: r-fixed, alpha = 0","Average trial duration","233.9568","10000","true"
"All methods and random priors","0.9","0.15","Oracle: r-fixed, alpha = 0","Absolute MTD-selection change vs oracle","0","10000","false"
